”NŒŽ“ú,•½‹Ï‹C‰·
2018/3/1,12.4
2018/3/2,9.4
2018/3/3,9.7
2018/3/4,13.9
2018/3/5,15.6
2018/3/6,8.3
2018/3/7,5.2
2018/3/8,5.9
2018/3/9,11.6
2018/3/10,7.3
2018/3/11,9.2
2018/3/12,9.9
2018/3/13,11.6
2018/3/14,14.3
2018/3/15,15.9
2018/3/16,13.2
2018/3/17,7.4
2018/3/18,11.3
2018/3/19,13
2018/3/20,8.4
2018/3/21,3.8
2018/3/22,9.5
2018/3/23,11.9
2018/3/24,11.3
2018/3/25,13
2018/3/26,14.1
2018/3/27,15.7
2018/3/28,17.2
2018/3/29,18.1
2018/3/30,13.8
2018/3/31,13.4
2018/4/1,16
2018/4/2,17.9
2018/4/3,17.9
2018/4/4,20.1
2018/4/5,13.3
2018/4/6,18.1
2018/4/7,16.2
2018/4/8,11.9
2018/4/9,13.7
2018/4/10,13.6
2018/4/11,17.6
2018/4/12,19.1
2018/4/13,15.5
2018/4/14,15.2
2018/4/15,17.9
2018/4/16,14.7
2018/4/17,12.7
2018/4/18,12.7
2018/4/19,16.2
2018/4/20,18.7
2018/4/21,18.9
2018/4/22,20.5
2018/4/23,16.5
2018/4/24,18
2018/4/25,19
2018/4/26,18.9
2018/4/27,18.5
2018/4/28,20.1
2018/4/29,20.1
2018/4/30,20.8
2018/5/1,22.3
2018/5/2,20.4
2018/5/3,21.9
2018/5/4,18
2018/5/5,18.3
2018/5/6,21
2018/5/7,17.9
2018/5/8,12.9
2018/5/9,12.1
2018/5/10,12.1
2018/5/11,16.4
2018/5/12,18.8
2018/5/13,17.9
2018/5/14,21.1
2018/5/15,22.3
2018/5/16,23.5
2018/5/17,24
2018/5/18,23.4
2018/5/19,21.5
2018/5/20,16.8
2018/5/21,20.3
2018/5/22,21
2018/5/23,18.6
2018/5/24,20.7
2018/5/25,22.8
2018/5/26,21.4
2018/5/27,21.3
2018/5/28,21.6
2018/5/29,23
2018/5/30,21.1
2018/5/31,19.5
